name,from,to,rating,tv_or_movie,genre,runtime,votes
Space Force,2020,None,6.9,TV,comedy,30 min,"26,652"
Rick and Morty,2013,None,9.2,TV,comedy,23 min,"343,088"
Community,2009,2015,8.5,TV,comedy,22 min,"196,680"
The Office,2005,2013,8.9,TV,comedy,22 min,"363,196"
Dead to Me,2019,None,8.1,TV,comedy,30 min,"44,485"
Secret Society of Second-Born Royals,2020,None,None,Movie,comedy,None,None
Friends,1994,2004,8.9,TV,comedy,22 min,"768,019"
The Wrong Missy,2020,None,5.7,Movie,comedy,90 min,"22,201"
The Great,2020,None,8.1,TV,comedy,None,"6,940"
Ramy,2019,None,8,TV,comedy,30 min,"6,247"
Modern Family,2009,2020,8.4,TV,comedy,22 min,"331,395"
Upload,2020,None,8.1,TV,comedy,30 min,"23,837"
What We Do in the Shadows,2019,None,8.4,TV,comedy,30 min,"25,318"
Gisaengchung,2019,None,8.6,Movie,comedy,132 min,"427,890"
Brooklyn Nine-Nine,2013,None,8.4,TV,comedy,22 min,"196,281"
Schitt's Creek,2015,2020,8.4,TV,comedy,22 min,"35,528"
Fuller House,2016,2020,6.8,TV,comedy,30 min,"23,612"
Knives Out,2019,None,7.9,Movie,comedy,130 min,"321,806"
Once Upon a Time... in Hollywood,2019,None,7.7,Movie,comedy,161 min,"478,726"
The Big Bang Theory,2007,2019,8.1,TV,comedy,22 min,"690,747"
The Gentlemen,2019,None,7.9,Movie,comedy,113 min,"147,818"
Glee,2009,2015,6.7,TV,comedy,44 min,"131,830"
Parks and Recreation,2009,2020,8.6,TV,comedy,22 min,"198,303"
New Girl,2011,2018,7.7,TV,comedy,22 min,"178,485"
Love Life,2020,None,7.4,TV,comedy,None,"1,549"
The Boys,2019,None,8.7,TV,comedy,60 min,"148,073"
Scoob!,2020,None,5.8,Movie,comedy,93 min,"8,982"
Ready or Not,2019,None,6.8,Movie,comedy,95 min,"85,072"
The Lovebirds,2020,None,6,Movie,comedy,86 min,"12,977"
Clueless,1995,None,6.8,Movie,comedy,97 min,"171,713"
The Simpsons,1989,None,8.7,TV,comedy,22 min,"353,048"
How I Met Your Mother,2005,2014,8.3,TV,comedy,22 min,"576,816"
Shameless,2011,None,8.6,TV,comedy,46 min,"190,503"
Jojo Rabbit,2019,None,7.9,Movie,comedy,108 min,"226,546"
Suits,2011,2019,8.5,TV,comedy,44 min,"348,679"
The Legend of Korra,2012,2014,8.4,TV,comedy,23 min,"92,949"
Bad Boys for Life,2020,None,6.7,Movie,comedy,124 min,"98,731"
Back to the Future,1985,None,8.5,Movie,comedy,116 min,"1,009,438"
Bones,2005,2017,7.8,TV,comedy,40 min,"134,627"
It's Always Sunny in Philadelphia,2005,None,8.8,TV,comedy,22 min,"182,454"
The Healer,2017,None,6.3,Movie,comedy,113 min,"5,262"
Sex Education,2019,None,8.3,TV,comedy,45 min,"135,300"
Seinfeld,1989,1998,8.8,TV,comedy,22 min,"243,053"
Sonic the Hedgehog,2020,None,6.6,Movie,comedy,99 min,"66,349"
After Life,2019,None,8.5,TV,comedy,30 min,"72,951"
Scrubs,2001,2010,8.3,TV,comedy,22 min,"231,504"
The VelociPastor,2018,None,5.2,Movie,comedy,75 min,"2,245"
Two and a Half Men,2003,2015,7,TV,comedy,22 min,"235,003"
Gilmore Girls,2000,2007,8.1,TV,comedy,44 min,"93,311"
The Umbrella Academy,2019,None,7.9,TV,comedy,60 min,"100,785"
Never Have I Ever,2020,None,8,TV,comedy,30 min,"16,967"
Harley Quinn,2019,None,8.5,TV,comedy,23 min,"7,923"
This Is Us,2016,None,8.7,TV,comedy,45 min,"93,715"
Thor: Ragnarok,2017,None,7.9,Movie,comedy,130 min,"554,795"
Doom Patrol,2019,None,8,TV,comedy,60 min,"25,539"
Jumanji: The Next Level,2019,None,6.7,Movie,comedy,123 min,"151,452"
Psych,2006,2014,8.3,TV,comedy,44 min,"81,664"
Central Park,2020,None,6.5,TV,comedy,None,633
That '70s Show,1998,2006,8.1,TV,comedy,22 min,"149,178"
The Baker and the Beauty,2020,None,7.3,TV,comedy,None,"1,365"
Lady Bird,2017,None,7.4,Movie,comedy,94 min,"221,450"
Onward,2020,None,7.5,Movie,comedy,102 min,"64,471"
Orange Is the New Black,2013,2019,8.1,TV,comedy,59 min,"272,343"
BoJack Horseman,2014,2020,8.7,TV,comedy,25 min,"98,259"
Emma.,2020,None,6.8,Movie,comedy,124 min,"16,045"
Family Guy,1999,None,8.1,TV,comedy,22 min,"296,494"
Just Go with It,2011,None,6.4,Movie,comedy,117 min,"214,583"
The King of Staten Island,2020,None,7.2,Movie,comedy,136 min,"3,772"
The Rookie,2018,None,8.1,TV,comedy,43 min,"16,691"
Do the Right Thing,1989,None,7.9,Movie,comedy,120 min,"82,928"
Arrested Development,2003,None,8.7,TV,comedy,22 min,"268,409"
The Marvelous Mrs. Maisel,2017,None,8.7,TV,comedy,57 min,"69,011"
Sex and the Future,2020,None,1.8,Movie,comedy,90 min,189
Hustlers,2019,None,6.3,Movie,comedy,110 min,"71,053"
The Half of It,2020,None,7,Movie,comedy,104 min,"18,450"
Dolittle,2020,None,5.6,Movie,comedy,101 min,"35,199"
South Park,1997,None,8.7,TV,comedy,22 min,"320,520"
The Good Place,2016,2020,8.2,TV,comedy,22 min,"97,094"
Insecure,2016,None,7.8,TV,comedy,30 min,"10,868"
Death in Paradise,2011,None,7.8,TV,comedy,60 min,"13,036"
Curb Your Enthusiasm,2000,None,8.7,TV,comedy,28 min,"96,885"
Booksmart,2019,None,7.2,Movie,comedy,102 min,"79,356"
Desperate Housewives,2004,2012,7.4,TV,comedy,45 min,"111,740"
The Goonies,1985,None,7.8,Movie,comedy,114 min,"233,650"
Fleabag,2016,2019,8.7,TV,comedy,27 min,"76,367"
Monk,2002,2009,7.9,TV,comedy,44 min,"62,667"
Run,2020,None,6.3,TV,comedy,None,"4,113"
Bad Education,2019,None,7.1,Movie,comedy,108 min,"17,949"
The Orville,2017,None,8,TV,comedy,44 min,"55,762"
Full House,1987,1995,6.7,TV,comedy,22 min,"51,356"
Guardians of the Galaxy,2014,None,8,Movie,comedy,121 min,"1,015,116"
Castle,2009,2016,8.1,TV,comedy,43 min,"137,143"
Guns Akimbo,2019,None,6.3,Movie,comedy,98 min,"23,520"
Green Book,2018,None,8.2,Movie,comedy,130 min,"327,903"
The Disaster Artist,2017,None,7.4,Movie,comedy,104 min,"129,741"
Good Witch,2015,None,7.3,TV,comedy,48 min,"6,571"
Cheers,1982,1993,7.8,TV,comedy,22 min,"46,118"
Frozen 2,2019,None,6.9,Movie,comedy,103 min,"111,903"
Trolls World Tour,2020,None,6.1,Movie,comedy,90 min,"8,588"
Archer,2009,None,8.6,TV,comedy,22 min,"132,105"
6 Underground,2019,None,6.1,Movie,comedy,128 min,"123,454"
The Goldbergs,2013,None,8.1,TV,comedy,22 min,"29,612"
Dorohedoro,2020,None,8.2,TV,comedy,25 min,"1,556"
Grown Ups,2010,None,5.9,Movie,comedy,102 min,"221,969"
Yesterday, (20,None,6.8,TV,comedy,116 min,"99,010"
Workin' Moms,2017,None,7.5,TV,comedy,30 min,"8,736"
The Golden Girls,1985,1992,7.9,TV,comedy,30 min,"29,958"
Mom,2013,None,7.2,TV,comedy,30 min,"26,679"
Scott Pilgrim vs. the World,2010,None,7.5,Movie,comedy,112 min,"362,712"
Silicon Valley,2014,2019,8.5,TV,comedy,28 min,"119,655"
Married with Children,1987,1997,8,TV,comedy,22 min,"94,049"
American Pie,1999,None,7,Movie,comedy,95 min,"367,225"
The Fresh Prince of Bel-Air,1990,1996,7.9,TV,comedy,22 min,"115,486"
Hart of Dixie,2011,2015,7.7,TV,comedy,60 min,"43,279"
Some Like It Hot,1959,None,8.2,Movie,comedy,121 min,"235,493"
Jumanji: Welcome to the Jungle,2017,None,6.9,Movie,comedy,119 min,"302,792"
Frasier,1993,2004,8,TV,comedy,22 min,"70,913"
Crazy Rich Asians,2018,None,6.9,Movie,comedy,120 min,"127,787"
Solar Opposites,2020,None,8.1,TV,comedy,181 min,"5,213"
Bob's Burgers,2011,None,8.1,TV,comedy,22 min,"61,443"
The Breakfast Club,1985,None,7.9,Movie,comedy,97 min,"342,483"
Cats,2019,None,2.7,Movie,comedy,110 min,"33,925"
Spenser Confidential,2020,None,6.2,Movie,comedy,111 min,"56,015"
Shazam!,2019,None,7.1,Movie,comedy,132 min,"233,554"
Up,2009,None,8.2,Movie,comedy,96 min,"902,402"
The First Team,2020,None,6,TV,comedy,None,309
Chuck,2007,2012,8.2,TV,comedy,43 min,"124,685"
Charlie's Angels,2019,None,4.7,Movie,comedy,118 min,"42,317"
Deadpool 2,2018,None,7.7,Movie,comedy,119 min,"453,286"
Grown Ups 2,2013,None,5.4,Movie,comedy,101 min,"136,227"
Operation Buffalo,2020,None,4.6,TV,comedy,52 min,107
Dinosaurus!,1960,None,5,Movie,comedy,83 min,"1,238"
Dave,2020,None,8.4,TV,comedy,30 min,"6,523"
She-Ra and the Princesses of Power,2018,2020,7.5,TV,comedy,30 min,"6,298"
Back to the Future Part II,1989,None,7.8,Movie,comedy,108 min,"460,310"
Guardians of the Galaxy Vol. 2,2017,None,7.6,Movie,comedy,136 min,"542,063"
Good Girls,2018,None,7.9,TV,comedy,43 min,"26,065"
What We Do in the Shadows,2014,None,7.7,Movie,comedy,86 min,"146,813"
Letterkenny,2016,None,8.7,TV,comedy,30 min,"11,391"
Moana,2016,None,7.6,Movie,comedy,107 min,"254,607"
The O.C.,2003,2007,7.5,TV,comedy,44 min,"78,659"
Sex and the City,1998,2004,7.1,TV,comedy,30 min,"101,932"
Zombieland: Double Tap,2019,None,6.7,Movie,comedy,99 min,"112,706"
30 Rock,2006,2013,8.2,TV,comedy,22 min,"108,677"
The Nice Guys,2016,None,7.4,Movie,comedy,116 min,"265,189"
The Addams Family,2019,None,5.8,Movie,comedy,86 min,"21,089"
Toy Story 4,2019,None,7.8,Movie,comedy,100 min,"182,146"
Boku no hîrô akademia,2016,None,8.5,TV,comedy,24 min,"26,603"
M*A*S*H,1972,1983,8.4,TV,comedy,25 min,"48,838"
The Andy Griffith Show,1960,1968,8.3,TV,comedy,30 min,"11,538"
White Collar,2009,2014,8.2,TV,comedy,40 min,"114,847"
Bill & Ted Face the Music,2020,None,None,Movie,comedy,None,None
Last Man Standing,2011,None,7.6,TV,comedy,30 min,"28,089"
Marriage Story,2019,None,8,Movie,comedy,137 min,"216,657"
Six Feet Under,2001,2005,8.7,TV,comedy,55 min,"116,658"
Grace and Frankie,2015,None,8.3,TV,comedy,30 min,"36,129"
Unbreakable Kimmy Schmidt,2015,2019,7.6,TV,comedy,30 min,"60,385"
Atlanta,2016,None,8.6,TV,comedy,30 min,"46,971"
The Peanut Butter Falcon,2019,None,7.6,Movie,comedy,97 min,"41,586"
Future Man,2017,2020,7.8,TV,comedy,30 min,"19,324"
The SpongeBob Movie: Sponge on the Run,2020,None,None,Movie,comedy,None,None
Zoey's Extraordinary Playlist,2020,None,8.1,TV,comedy,60 min,"6,924"
The Grand Budapest Hotel,2014,None,8.1,Movie,comedy,99 min,"679,579"
Blockers,2018,None,6.2,Movie,comedy,102 min,"67,407"
Entourage,2004,2011,8.4,TV,comedy,28 min,"155,713"
Everybody Loves Raymond,1996,2005,7.1,TV,comedy,22 min,"61,636"
The Hustle,2019,None,5.4,Movie,comedy,93 min,"41,005"
GLOW,2017,None,8,TV,comedy,35 min,"37,495"
"Three Billboards Outside Ebbing, Missouri",2017,None,8.2,Movie,comedy,115 min,"401,919"
Barry,2018,None,8.3,TV,comedy,30 min,"39,006"
Dazed and Confused,1993,None,7.6,Movie,comedy,102 min,"158,948"
Young Sheldon,2017,None,7.4,TV,comedy,30 min,"30,230"
Superstore,2015,None,7.8,TV,comedy,22 min,"19,270"
A Rainy Day in New York,2019,None,6.6,Movie,comedy,92 min,"22,112"
Mean Girls,2004,None,7,Movie,comedy,97 min,"320,593"
The Ranch,2016,2020,7.5,TV,comedy,30 min,"31,962"
"Love, Victor",2020,None,None,TV,comedy,30 min,None
Ferris Bueller's Day Off,1986,None,7.8,Movie,comedy,103 min,"308,964"
Good Boys,(201,None,6.7,TV,comedy,90 min,"51,465"
Deadpool,2016,None,8,Movie,comedy,108 min,"874,155"
The French Dispatch,2020,None,None,Movie,comedy,103 min,None
Blended,2014,None,6.5,Movie,comedy,117 min,"114,192"
La La Land,2016,None,8,Movie,comedy,128 min,"480,247"
Zootopia,2016,None,8,Movie,comedy,108 min,"415,730"
Frozen,2013,None,7.4,Movie,comedy,102 min,"555,870"
Jane the Virgin,2014,2019,7.8,TV,comedy,60 min,"35,441"
American Dad!,2005,None,7.3,TV,comedy,22 min,"113,172"
Charlie and the Chocolate Factory,2005,None,6.6,Movie,comedy,115 min,"412,302"
The King's Man,2020,None,None,Movie,comedy,None,None
Come to Daddy,2019,None,6,Movie,comedy,96 min,"8,373"
The Big Lebowski,1998,None,8.1,Movie,comedy,117 min,"703,598"
Almost Famous,2000,None,7.9,Movie,comedy,122 min,"244,995"
Boy Meets World,1993,2000,8.1,TV,comedy,23 min,"37,713"
The Favourite,2018,None,7.5,Movie,comedy,119 min,"159,526"
The Big Short,2015,None,7.8,Movie,comedy,130 min,"342,924"
Jumanji,1995,None,7,Movie,comedy,104 min,"295,500"
Brassic,2019,None,8.2,TV,comedy,43 min,"3,056"
Sa-rang-eui bul-sa-chak,2019,2020,8.8,TV,comedy,70 min,"6,080"
Malcolm in the Middle,2000,2006,8,TV,comedy,22 min,"112,742"
Hairspray Live!,2016,None,7,TV,comedy,120 min,"2,852"
Think Like a Dog,2020,None,4.8,Movie,comedy,91 min,155
Being John Malkovich,1999,None,7.7,Movie,comedy,113 min,"300,646"
Cobra Kai,2018,None,8.8,TV,comedy,30 min,"40,551"
The Truman Show,1998,None,8.1,Movie,comedy,103 min,"897,301"
Not Another Teen Movie,2001,None,5.7,Movie,comedy,89 min,"94,562"
A League of Their Own,1992,None,7.3,Movie,comedy,128 min,"89,854"
The Politician,2019,None,7.5,TV,comedy,42 min,"13,129"
A Simple Favor,2018,None,6.8,Movie,comedy,117 min,"114,461"
The End of the F***ing World,2017,2019,8.1,TV,comedy,25 min,"130,579"
Scooby-Doo,2002,None,5.1,Movie,comedy,89 min,"95,001"
Snatch,2000,None,8.3,Movie,comedy,104 min,"759,813"
Stuber,2019,None,6.2,Movie,comedy,93 min,"35,264"
Doc Martin,2004,None,8.3,TV,comedy,46 min,"11,467"
The Willoughbys,2020,None,6.4,Movie,comedy,90 min,"9,301"
Captain Fantastic,2016,None,7.9,Movie,comedy,118 min,"178,777"
Clue,1985,None,7.3,Movie,comedy,94 min,"77,077"
Cheaper by the Dozen,2003,None,5.9,Movie,comedy,98 min,"91,431"
The Middle,2009,2018,7.5,TV,comedy,22 min,"43,459"
Space Jam,1996,None,6.4,Movie,comedy,88 min,"156,845"
Bad Boys,1995,None,6.9,Movie,comedy,119 min,"232,468"
Return to Mayberry,1986,None,6.9,TV,comedy,95 min,746
