name,from,to,rating,Tv/Movie,Country Name,Time Duration,Genre,votes,reviews,Meta Score,Certificate,critics,creators,stars
Space Force,2020,None,6.9,TV,USA,30min,comedy,"24,380",976,None,TV-MA,53,Steve Carell  Greg Daniels  ,Steve Carell  John Malkovich  Ben Schwartz  
Rick and Morty,2013,None,9.2,TV,USA,23min,comedy,"342,403",499,None,TV-14,46,Dan Harmon  Justin Roiland  ,Justin Roiland  Chris Parnell  Spencer Grammer  
Community,2009,2015,8.5,TV,USA,22min,comedy,"196,208",282,None,TV-14,70,Dan Harmon  ,Joel McHale  Danny Pudi  Donald Glover  
The Office,2005,2013,8.9,TV,USA,22min,comedy,"362,537","1,005",None,TV-14,75,Greg Daniels  Ricky Gervais  Stephen Merchant  ,Steve Carell  Jenna Fischer  John Krasinski  
Dead to Me,2019,None,8.1,TV,USA,30min,comedy,"44,028",568,None,TV-MA,43,Liz Feldman  ,Christina Applegate  Linda Cardellini  Sam McCarthy  
Secret Society of Second Born Royals,2020,None,None,Movie,USA,None,comedy,None ,5,None,None,,Anna Mastro  ,Alex Litvak  Andrew Green  
Friends,1994,2004,8.9,TV,USA,22min,comedy,"767,282","1,428",None,TV-14,56,David Crane  Marta Kauffman  ,Jennifer Aniston  Courteney Cox  Lisa Kudrow  
The Wrong Missy,2020,None,5.7,Movie,USA,1h 30min,comedy,"21,398",456,33,TV-MA,61,Tyler Spindel  ,Chris Pappas  
The Great,2020,None,8.0,TV,UK,None,comedy,"6,549",189,None,TV-MA,22,Tony McNamara  ,Elle Fanning  Nicholas Hoult  Phoebe Fox  
Ramy,2019,None,8.0,TV,USA,30min,comedy,"6,045",102,None,TV-MA,12,Ramy Youssef  Ari Katcher  Ryan Welch  ,Ramy Youssef  Amr Waked  Mohammed Amer  
Modern Family,2009,2020,8.4,TV,USA,22min,comedy,"331,089",287,None,TV-PG,73,Steven Levitan  Christopher Lloyd  ,Ed O'Neill  Sofía Vergara  Julie Bowen  
Upload,2020,None,8.1,TV,USA,30min,comedy,"23,131",507,None,TV-MA,34,Greg Daniels  ,Robbie Amell  Andy Allo  Zainab Johnson  
What We Do in the Shadows,2019,None,8.4,TV,USA,30min,comedy,"24,809",239,None,TV-MA,24,Jemaine Clement  ,Kayvan Novak  Matt Berry  Natasia Demetriou  
Parasite,2019,None,8.6,Movie,South Korea,2h 12min,comedy,"425,178","2,515",96,None,515,Bong Joon Ho  ,Bong Joon Ho  Bong Joon Ho  
Brooklyn Nine-Nine,2013,None,8.4,TV,USA,22min,comedy,"195,891",444,None,TV-14,33,Dan Goor  Michael Schur  ,Andy Samberg  Stephanie Beatriz  Terry Crews  
Schitt's Creek,2015,2020,8.4,TV,Canada,22min,comedy,"35,290",536,None,TV-14,18,Dan Levy  Eugene Levy  ,Eugene Levy  Catherine O'Hara  Dan Levy  
