name,from,to,rating,Tv/Movie,Country Name,Time Duration,Genre,votes,reviews,Meta Score,Certificate,critics,creators,stars,popularity_rank,Popularity up or down
Space Force,2020,None,6.9,TV,USA,30min,comedy,"26,652","1,027",None,TV-MA,56,Steve Carell  Greg Daniels  ,Steve Carell  John Malkovich  Ben Schwartz  ,1,None
Rick and Morty,2013,None,9.2,TV,USA,23min,comedy,"343,088",502,None,TV-14,46,Dan Harmon  Justin Roiland  ,Justin Roiland  Chris Parnell  Spencer Grammer  ,2,7
Community,2009,2015,8.5,TV,USA,22min,comedy,"196,680",286,None,TV-14,70,Dan Harmon  ,Joel McHale  Danny Pudi  Donald Glover  ,7,-1
The Office,2005,2013,8.9,TV,USA,22min,comedy,"363,196","1,008",None,TV-14,75,Greg Daniels  Ricky Gervais  Stephen Merchant  ,Steve Carell  Jenna Fischer  John Krasinski  ,12,7
Dead to Me,2019,None,8.1,TV,USA,30min,comedy,"44,485",575,None,TV-MA,43,Liz Feldman  ,Christina Applegate  Linda Cardellini  Sam McCarthy  ,20,-15
Secret Society of Second Born Royals,2020,None,None,Movie,USA,None,comedy,None ,5,None,None,,Anna Mastro  ,Alex Litvak  Andrew Green  ,20,202
Friends,1994,2004,8.9,TV,USA,22min,comedy,"768,019","1,430",None,TV-14,56,David Crane  Marta Kauffman  ,Jennifer Aniston  Courteney Cox  Lisa Kudrow  ,26,17
The Wrong Missy,2020,None,5.7,Movie,USA,1h 30min,comedy,"22,201",465,33,TV-MA,60,Tyler Spindel  ,Chris Pappas  ,5,-2
The Great,2020,None,8.1,TV,UK,None,comedy,"6,940",198,None,TV-MA,22,Tony McNamara  ,Elle Fanning  Nicholas Hoult  Phoebe Fox  ,28,-17
Ramy,2019,None,8.0,TV,USA,30min,comedy,"6,247",105,None,TV-MA,13,Ari Katcher  Ryan Welch  Ramy Youssef  ,Ramy Youssef  Amr Waked  Mohammed Amer  ,32,103
Modern Family,2009,2020,8.4,TV,USA,22min,comedy,"331,395",287,None,,73,Steven Levitan  Christopher Lloyd  ,Ed O'Neill  Sofía Vergara  Julie Bowen  ,35,10
